25-03-03 23:17:05.199 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| 01        |          93.6 |          69.8 |          84.6 |       93.7 |
| 02        |          94.5 |          64.8 |          80.6 |       96.8 |
| 03        |          94.6 |          87.5 |          93.5 |       76   |
| mean      |          94.2 |          74.1 |          86.3 |       88.8 |
25-03-03 23:48:49.864 - INFO: 
| objects        |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:---------------|--------------:|--------------:|--------------:|-----------:|
| Woven_001      |          99.7 |          98.8 |         100   |      100   |
| Woven_127      |          93.8 |          88.9 |          83.1 |       86.2 |
| Woven_104      |          96   |          92.3 |          98.1 |       99.6 |
| Stratified_154 |          99.6 |          94.6 |          97.2 |       99.3 |
| Blotchy_099    |          99.5 |          95.4 |          98.8 |       99.7 |
| Woven_068      |          98.7 |          91.2 |          96.9 |       98.3 |
| Woven_125      |          99.4 |          94.2 |          99.9 |      100   |
| Marbled_078    |          99.1 |          96.3 |          98.2 |       99.6 |
| Perforated_037 |          94.5 |          82.7 |          88.6 |       96.8 |
| Mesh_114       |          95   |          79.6 |          85.4 |       94.1 |
| Fibrous_183    |          99.4 |          98.4 |          97.3 |       99.4 |
| Matted_069     |          99.5 |          84.9 |          81.6 |       94.8 |
| mean           |          97.9 |          91.4 |          93.8 |       97.3 |
25-03-24 16:51:47.096 - INFO: 
| objects        |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:---------------|--------------:|--------------:|--------------:|-----------:|
| Woven_001      |          99.7 |          98.8 |         100   |      100   |
| Woven_127      |          93.8 |          88.9 |          83.1 |       86.2 |
| Woven_104      |          96   |          92.3 |          98.1 |       99.6 |
| Stratified_154 |          99.6 |          94.6 |          97.2 |       99.3 |
| Blotchy_099    |          99.5 |          95.4 |          98.8 |       99.7 |
| Woven_068      |          98.7 |          91.2 |          96.9 |       98.3 |
| Woven_125      |          99.4 |          94.2 |          99.9 |      100   |
| Marbled_078    |          99.1 |          96.3 |          98.2 |       99.6 |
| Perforated_037 |          94.5 |          82.7 |          88.6 |       96.8 |
| Mesh_114       |          95   |          79.6 |          85.4 |       94.1 |
| Fibrous_183    |          99.4 |          98.4 |          97.3 |       99.4 |
| Matted_069     |          99.5 |          84.9 |          81.6 |       94.8 |
| mean           |          97.9 |          91.4 |          93.8 |       97.3 |
25-03-24 18:26:36.277 - INFO: 
| objects        |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:---------------|--------------:|--------------:|--------------:|-----------:|
| Woven_001      |          91.4 |          71.4 |          78.3 |       92.7 |
| Woven_127      |          75.5 |          52.9 |          76.8 |       79.5 |
| Woven_104      |          62.7 |          29.9 |          76.4 |       93.5 |
| Stratified_154 |          47   |          10.8 |          66.8 |       86.9 |
| Blotchy_099    |          53   |          24.9 |          61.4 |       89.1 |
| Woven_068      |          81.9 |          53.5 |          72.7 |       82.9 |
| Woven_125      |          50.1 |          27.9 |          64.4 |       90   |
| Marbled_078    |          35.2 |          16.2 |          48.7 |       85.2 |
| Perforated_037 |          64.7 |          25.1 |          44.4 |       81.2 |
| Mesh_114       |          77.4 |          43   |          79   |       90.7 |
| Fibrous_183    |          79.3 |          51.5 |          74.1 |       93.6 |
| Matted_069     |          66.5 |          32.5 |          69.2 |       91   |
| mean           |          65.4 |          36.6 |          67.7 |       88   |
25-03-31 19:14:12.939 - INFO: 
| objects        |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:---------------|--------------:|--------------:|--------------:|-----------:|
| Woven_001      |          99.7 |          98.7 |         100   |      100   |
| Woven_127      |          93.8 |          88.8 |          84.1 |       87.1 |
| Woven_104      |          96   |          92.4 |          98.2 |       99.6 |
| Stratified_154 |          99.6 |          94.6 |          97.2 |       99.3 |
| Blotchy_099    |          99.5 |          96.8 |          98.9 |       99.7 |
| Woven_068      |          98.7 |          91.1 |          96.9 |       98.3 |
| Woven_125      |          99.4 |          94.1 |          99.9 |      100   |
